ZIPCODE,avg_response_time
10803,666.9
10153,587.3333333333334
10123,479.5
10103,458.88461538461536
11697,441.1375
10154,437.6666666666667
10044,427.4251968503937
10129,418.0
11430,412.31868131868134
11360,403.15269461077844
10022,398.41963015647224
10119,393.875
11005,390.463768115942
11359,387.6666666666667
11363,386.3170731707317
11427,382.80078125
10017,381.4967197750703
11001,381.4259259259259
11040,380.3731343283582
10461,377.8474687705457
10036,377.4276923076923
10018,375.1779911373707
10471,373.5125240847784
10001,372.62791805621725
10112,370.94444444444446
10016,369.9095890410959
11239,367.3792372881356
10065,366.2391304347826
10470,364.889400921659
10020,363.961038961039
10128,363.562925170068
10010,363.14703196347034
10282,362.7808219178082
10467,362.6696556671449
10021,358.7844036697248
11374,358.04857142857145
11411,356.21505376344084
10000,355.3333333333333
11367,354.91745283018867
10306,354.66493506493504
11102,354.52127659574467
10473,354.5029411764706
11362,354.15776081424934
10039,353.8754180602007
10472,353.66212379329926
10019,352.3434300341297
11379,349.10434782608695
10035,348.7386655260907
11355,348.38914873713753
11101,346.8888888888889
11103,345.64976958525347
10280,344.32835820895525
11426,343.1751592356688
10468,342.1144578313253
10452,341.1948608137045
10309,341.13946587537095
11370,337.3477088948787
10474,337.1783088235294
10463,335.47298020331726
10281,335.2962962962963
11357,335.01756756756754
11429,334.2158671586716
10314,333.7764365041043
11354,332.51945392491467
11422,332.2046511627907
11236,331.5373267769334
11692,330.29289428076254
10009,330.0895593869732
10040,329.9589345172031
11415,328.81024096385545
11365,328.7576601671309
10028,328.4028384279476
11235,328.23318872017353
11378,327.7184170471842
10023,327.4925170068027
10464,327.2721088435374
11356,326.7155361050328
11105,326.40983606557376
11377,326.35836909871244
10475,326.0175879396985
10037,325.9253012048193
10465,324.05263157894734
10462,322.89776357827475
11373,322.54812030075186
10075,321.95726495726495
10456,321.5317599799146
10029,320.8308882368632
10013,320.0839489590329
10459,319.7024880889359
11364,319.29003558718864
11375,319.17126623376623
10069,317.69444444444446
11106,317.03741152679476
11434,316.81891223733004
11694,316.41681574239715
11004,315.7722772277228
10034,315.4811957569913
10014,314.92153443766347
10466,314.6364124597207
11385,314.201724137931
10004,314.10285714285715
11361,313.2680608365019
11229,312.61035758323055
10469,312.359681372549
11432,312.3500651890482
11369,311.82487725040914
11417,311.5105263157895
11691,311.06842737094837
10026,310.0841949778434
10453,309.7315175097276
11416,309.55760368663596
10038,309.5121412803532
10308,309.44573643410854
11433,309.01402640264024
10107,308.6363636363636
11234,307.2136711281071
10005,307.2029520295203
10011,306.3070175438597
10031,305.82312925170066
11413,305.6255458515284
10025,305.12718531468533
10457,304.96907966533286
10003,304.7412765957447
10312,303.6270598438855
11222,303.06569343065695
10458,301.77942353883105
10002,301.58898439987263
10303,301.4594222833563
11223,300.1633597883598
11358,300.0018281535649
11208,298.8899150350942
10032,298.46593673965936
10460,298.3084845512506
11423,298.1958762886598
11420,297.9208556149733
11104,297.49603174603175
11435,297.23982558139534
11372,296.0775473399459
10027,294.66362038664323
11412,294.5977142857143
10033,294.51740890688257
10024,294.28385228095584
11368,294.0511811023622
10030,293.8646179401993
11414,292.42857142857144
10006,291.9072164948454
10301,290.0534171249018
10451,289.93516016981863
11214,289.1306017925736
11109,289.0232558139535
11201,288.85682656826566
11366,287.3476923076923
10307,284.1862745098039
11428,283.5684523809524
10454,282.90223846505256
10007,282.476401179941
10455,281.4060185185185
11203,281.21792152704137
10041,281.1818181818182
11230,280.1280048076923
11249,279.7604267701261
11226,279.0121996303142
11418,277.7968952134541
11225,277.0352250489237
11231,276.731647634584
11693,274.90933333333334
11421,274.67478260869564
11212,273.2492068070378
11209,271.95496129486276
11204,271.7382943143813
10012,271.60269058295967
11217,271.4569752281617
11211,269.5747468731388
11213,269.2048780487805
11219,267.92905153099326
11224,266.9988365328679
10304,266.22
11205,265.2343550446999
11232,264.9388971684054
11436,264.25925925925924
11220,262.9695652173913
11218,262.7672473867596
11216,261.641975308642
11238,261.425
10305,261.25
11228,260.7056338028169
10162,259.3333333333333
10302,258.83935742971886
10310,257.4627507163324
11207,257.37388553350587
11206,253.64270152505446
11215,253.425
11419,250.1894374282434
11233,247.42322681215902
11210,246.11750972762647
10111,241.0
11241,236.0
11237,230.16553287981858
11221,226.2291746641075
11242,209.0
10048,181.14285714285714
11251,146.5
